종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
464060,4,HANARO 글로벌반도체TOP10 SOLACTIVE,14350,5,-70,-0.49,14556.0,12.4015,4963,71,86,해외 주식,HANARO,False,False,False
479850,2,HANARO K-뷰티,11460,5,-45,-0.39,11481.0,,7328,83,86,국내 업종/테마,HANARO,False,False,False
261110,7,TIGER 미국달러선물레버리지,14275,2,110,0.78,14273.0,6.1844,2933,41,86,기타,TIGER,False,True,False
468370,6,KODEX iShares미국인플레이션국채액티브,10445,2,25,0.24,10412.0,2.5086,1718,17,86,채권,KODEX,False,False,False
467540,1,KOSEF 코스닥글로벌,12200,5,-45,-0.37,12184.0,20.5809,61,0,85,국내 시장지수,KOSEF,False,False,False
333960,2,ARIRANG KS모멘텀가중TR,15415,2,75,0.49,15395.0,13.2939,30,0,85,국내 업종/테마,ARIRANG,False,False,False
225060,4,TIGER 이머징마켓MSCI레버리지(합성 H),7700,5,-50,-0.65,7818.0,12.3188,3528,27,85,해외 주식,TIGER,False,True,True
477490,4,에셋플러스 글로벌일등기업포커스10액티브,10580,5,-25,-0.24,10586.0,,125,1,85,해외 주식,에셋플러스,False,False,False
333950,2,ARIRANG KS로우사이즈가중TR,16795,2,35,0.21,16774.0,4.5539,20,0,84,국내 업종/테마,ARIRANG,False,False,False
269370,4,TIGER S&P글로벌인프라(합성),12910,2,220,1.73,12889.0,9.227,760,9,84,해외 주식,TIGER,False,False,False
449680,7,TIGER 한중전기차(합성),8780,5,-20,-0.23,8788.0,9.4527,628,5,83,기타,TIGER,False,False,False
333970,2,ARIRANG KS밸류가중TR,16680,2,110,0.66,16658.0,1.75,20,0,83,국내 업종/테마,ARIRANG,False,False,False
438740,2,마이다스 KoreaStock중소형액티브,22240,2,75,0.34,22237.0,8.6519,84,1,83,국내 업종/테마,마이다스,False,False,False
183710,7,KBSTAR 주식혼합,41685,2,135,0.32,41769.0,4.4232,4,0,83,기타,KBSTAR,False,False,False
461910,4,ARIRANG 미국테크10레버리지iSelect(합성),16675,5,-25,-0.15,16571.0,18.3977,3194,53,83,해외 주식,ARIRANG,False,True,False
462340,4,에셋플러스 글로벌다이나믹시니어액티브,11565,2,115,1.0,11572.0,5.0458,5,0,83,해외 주식,에셋플러스,False,False,False
364690,1,KODEX 혁신기술테마액티브,13840,2,60,0.44,13917.0,11.2636,1283,17,83,국내 시장지수,KODEX,False,False,False
404120,2,TIMEFOLIO 탄소중립액티브,13840,2,85,0.62,13906.0,12.5613,1101,15,83,국내 업종/테마,TIMEFOLIO,False,False,False
478150,4,TIMEFOLIO 글로벌우주테크&방산액티브,10285,5,-20,-0.19,10321.0,,156108,1608,82,해외 주식,TIMEFOLIO,False,False,False
419420,4,KODEX 미국클린에너지나스닥,6300,2,50,0.8,6262.0,2.8806,7210,44,82,해외 주식,KODEX,False,False,False
139320,5,TIGER 금은선물(H),10890,5,-10,-0.09,10913.0,14.1959,1062,11,82,원자재,TIGER,False,False,True
428560,4,KODEX 미국ETF산업Top10 Indxx,13595,2,105,0.78,13603.0,0.372,1217,16,82,해외 주식,KODEX,False,False,False
275290,2,KODEX MSCI밸류,11620,2,45,0.39,11634.0,-0.6694,553,6,81,국내 업종/테마,KODEX,False,False,False
426410,4,ARIRANG 미국대체투자Top10MV,16175,5,-20,-0.12,16208.0,9.9904,73,1,81,해외 주식,ARIRANG,False,False,False
457930,2,BNK 미래전략기술액티브,10755,5,-10,-0.09,10801.0,8.4634,22,0,81,국내 업종/테마,BNK,False,False,False
360150,2,KODEX 코스닥150롱코스피200숏선물,10080,5,-55,-0.54,10093.0,7.8191,1918,19,81,국내 업종/테마,KODEX,False,False,False
456200,6,ARIRANG 미국달러SOFR금리액티브(합성),53760,2,215,0.4,53628.0,3.709,14,0,81,채권,ARIRANG,False,False,False
322120,2,ACE 스마트퀄리티,16125,5,-10,-0.06,16135.0,6.7341,60,0,81,국내 업종/테마,ACE,False,False,False
