종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
제넨바이오 *,389.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,072520,,,,,,,,23071031,23071031,83688,0.36%,101.57,+0.31%,코스닥,447,1389,6420,1801,4619,3.5646862853970016,-6031.0,0.06059190031152648,,,,,-541,2.35,823.0,
이수앱지스 *,6950.0,보합0,0.00%,6950.0,6970.0,51697.0,360.0,96936.0,2024-05-12,086890,,,,,,,,445080,445080,1168,0.26%,101.57,+0.31%,코스닥,69,1989,19400,14350,5050,1.3519163763066202,-12450.0,0.3582474226804124,,,,,-130,1.26,12323.0,1.13
경보제약,7440.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,214390,,,,,,,,6370000,6370000,103449,1.62%,101.57,+0.31%,코스피,1016,855,19770,15220,4550,1.2989487516425755,-12330.0,0.37632776934749623,,,,4.75,3355,0.49,32846.0,4.7
노브메타파마,20500.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,229500,,,,,,,,76699394,76699394,233052,0.30%,101.57,+0.31%,코스피,940,904,1830,705,1125,2.595744680851064,18670.0,11.202185792349727,,,,,-60,6.22,197.0,
에이치엘사이언스 *,14000.0,보합0,0.00%,14000.0,14100.0,2761.0,39.0,2697.0,2024-05-12,239610,3981.0,668.0,510.0,16.77,12.81,3055.0,101.63,12810991,12810991,2313307,18.06%,101.57,+0.31%,코스닥,4803,99,377000,256565,120435,1.469413209128291,-363000.0,0.03713527851458886,414667.0,4.0,매수,27.9,11415,4.23,75288.0,0.15
에스엘에스바이오 *,4740.0,보합0,0.00%,4700.0,4740.0,7134.0,34.0,3445.0,2024-05-12,246250,,,,,,,,37558368,37558368,379670,1.01%,101.57,+0.31%,코스닥,691,1121,3595,1775,1820,2.0253521126760563,1145.0,1.3184979137691237,,,,,-837,1.18,1558.0,
지놈앤컴퍼니 *,7180.0,보합0,0.00%,7180.0,7190.0,54199.0,386.0,84291.0,2024-05-12,314130,,,,,,,,94162079,94162079,4967492,5.28%,101.57,+0.31%,코스닥,1601,728,3789,1593,2196,2.378531073446328,3391.0,1.8949590921087358,,,,,-333,1.63,1043.0,
프레스티지바이오로직스 *,4105.0,보합0,0.00%,4100.0,4105.0,86062.0,354.0,55629.0,2024-05-12,334970,,,,,,,,9658687,9658687,227575,2.36%,101.57,+0.31%,코스닥,1052,823,17090,9960,7130,1.715863453815261,-12985.0,0.24019894675248685,,,,18.06,603,1.05,10333.0,1.38
바스칸바이오제약,7380.0,보합0,0.00%,7000.0,7380.0,0.0,0.0,0.0,2024-05-12,354390,,,,,,,,12641883,12641883,52842,0.42%,101.57,+0.31%,코스피,661,1155,7750,4800,2950,1.6145833333333333,-370.0,0.952258064516129,,,,22.26,235,1.42,3694.0,0.76
카이바이오텍,6340.0,보합0,0.00%,5400.0,0.0,0.0,0.0,0.0,2024-05-12,446600,,,,,,,,8180000,8180000,106299,1.30%,101.57,+0.31%,코스피,440,1397,9390,4815,4575,1.9501557632398754,-3050.0,0.6751863684771033,,,,40.76,132,0.85,6321.0,
씨엑스아이 *,109.0,보합0,0.00%,108.0,109.0,735749.0,80.0,811793.0,2024-05-12,900120,,,,,,,,13763533,13763533,304448,2.21%,101.57,+0.31%,코스닥,1892,673,15460,11480,3980,1.3466898954703832,-15351.0,0.007050452781371281,,,,,-2092,0.56,24611.0,2.18
샤페론 *,1937.0,하락  1,-0.05%,1937.0,1938.0,133171.0,259.0,186249.0,2024-05-12,378800,,,,,,,,8666361,8666361,14060,0.16%,101.57,+0.31%,코스닥,787,1034,12400,7190,5210,1.7246175243393602,-10463.0,0.15620967741935485,,,,14.44,629,0.76,11878.0,0.55
일양약품우,15490.0,하락  10,-0.06%,15290.0,15490.0,186.0,2.0,3.0,2024-05-12,007575,,,,,,,,27255390,27255390,304595,1.12%,101.57,+0.31%,코스피,1167,746,8392,2135,6257,3.930679156908665,7098.0,1.84580552907531,,,,,-1043,2.58,1656.0,
삼아제약 *,15950.0,하락  10,-0.06%,15940.0,15950.0,9356.0,149.0,6844.0,2024-05-12,009300,,,,,,,,182892731,182892731,5303270,2.90%,101.57,+0.31%,코스닥,3868,428,2995,1960,1035,1.528061224489796,12955.0,5.325542570951586,,,,,-21,4.32,490.0,
지엘팜텍 *,1225.0,하락  1,-0.08%,1223.0,1225.0,80658.0,99.0,56752.0,2024-05-12,204840,,,,,,,,32474435,32474435,818680,2.52%,101.57,+0.31%,코스닥,1299,673,5530,3730,1800,1.482573726541555,-4305.0,0.22151898734177214,,,,4.96,807,0.94,4240.0,
한미약품,318500.0,하락  500,-0.16%,318500.0,319000.0,19374.0,6215.0,28475.0,2024-05-12,128940,,,,,,,,30027963,30027963,176762,0.59%,101.57,+0.31%,코스피,582,1229,2645,1750,895,1.5114285714285713,315855.0,120.41587901701324,,,,20.18,96,1.45,1339.0,
아이큐어 *,1840.0,하락  3,-0.16%,1840.0,1848.0,44426.0,82.0,42624.0,2024-05-12,175250,,,,,,,,52420851,52420851,10060062,19.19%,101.57,+0.31%,코스닥,3554,460,8500,5770,2730,1.4731369150779896,-6660.0,0.2164705882352941,,,,9.62,705,0.5,13588.0,1.48
삼성제약,1700.0,하락  3,-0.18%,1699.0,1700.0,181470.0,308.0,116178.0,2024-05-12,001360,,,,,,,,26816748,26816748,0,0.00%,101.57,+0.31%,코스피,1311,664,7660,4100,3560,1.8682926829268294,-5960.0,0.22193211488250653,,,,,-66,3.69,1325.0,
중앙백신 *,10890.0,하락  20,-0.18%,10880.0,10890.0,37904.0,412.0,19723.0,2024-05-12,072020,,,,,,,,7929338,7929338,25278,0.32%,101.57,+0.31%,코스닥,515,1318,10380,6420,3960,1.6168224299065421,510.0,1.0491329479768785,,,,15.59,417,0.79,8248.0,1.54
이글벳 *,5230.0,하락  10,-0.19%,5220.0,5230.0,43589.0,228.0,35279.0,2024-05-12,044960,,,,,,,,73924942,73924942,1478296,2.00%,101.57,+0.31%,코스닥,2214,611,4398,2880,1518,1.5270833333333333,832.0,1.1891768985902682,,,,11.65,257,1.75,1716.0,3.44
비피도 *,5380.0,하락  10,-0.19%,5370.0,5380.0,22851.0,122.0,14352.0,2024-05-12,238200,,,,,,,,27931470,27931470,1505728,5.39%,101.57,+0.31%,코스닥,2413,586,11120,8340,2780,1.3333333333333333,-5740.0,0.48381294964028776,,,,8.8,982,0.64,13413.0,2.08
한독,13750.0,하락  30,-0.22%,13750.0,13770.0,3678.0,50.0,12433.0,2024-05-12,002390,,,,,,,,48211715,48211715,22973,0.05%,101.57,+0.31%,코스피,1388,632,4620,2395,2225,1.92901878914405,9130.0,2.9761904761904763,,,,,-70,1.31,2205.0,
알피바이오 *,9080.0,하락  20,-0.22%,9050.0,9080.0,17998.0,162.0,12484.0,2024-05-12,314140,,,,,,,,8610587,8610587,325238,3.78%,101.57,+0.31%,코스닥,337,1506,5430,3775,1655,1.4384105960264901,3650.0,1.6721915285451197,,,,13.01,301,0.7,5610.0,
큐리언트 *,4280.0,하락  10,-0.23%,4245.0,4280.0,57317.0,244.0,47331.0,2024-05-12,115180,,,,,,,,32000000,32000000,486175,1.52%,105.4,+0.31%,코스닥,1208,843,5240,3510,1730,1.4928774928774928,-960.0,0.816793893129771,,,,25.34,149,1.19,3182.0,0.93
영진약품,2115.0,하락  5,-0.24%,2115.0,2120.0,301134.0,643.0,99441.0,2024-05-12,003520,,,,,,,,16333822,16333822,1148490,7.03%,101.57,+0.31%,코스피,3985,419,30600,21500,9100,1.4232558139534883,-28485.0,0.06911764705882353,,,,8.21,2971,0.94,25898.0,1.72
테라젠이텍스 *,4000.0,하락  10,-0.25%,3995.0,4000.0,31174.0,125.0,24595.0,2024-05-12,066700,611.0,76.0,80.0,12.44,13.09,,,18600070,18600070,2061266,11.08%,101.57,+0.31%,코스닥,2671,549,16270,12410,3860,1.3110394842868653,-12270.0,0.24585125998770743,20000.0,4.0,매수,8.97,1601,0.61,23463.0,2.09
더블유에스아이 *,1937.0,하락  5,-0.26%,1930.0,1937.0,20982.0,40.0,28989.0,2024-05-12,299170,,,,,,,,15973355,15973355,1555936,9.74%,101.57,+0.31%,코스닥,1797,693,16000,9250,6750,1.7297297297297298,-14063.0,0.1210625,,,,,-1017,0.54,20810.0,0.44
광동제약,6780.0,하락  20,-0.29%,6780.0,6800.0,65877.0,447.0,59624.0,2024-05-12,009290,,,,,,,,11659319,11659319,78407,0.67%,101.57,+0.31%,코스피,399,1443,4565,3230,1335,1.4133126934984521,2215.0,1.4852135815991239,,,,11.34,302,1.04,3308.0,
차백신연구소 *,4890.0,하락  15,-0.31%,4885.0,4890.0,79737.0,391.0,109611.0,2024-05-12,261780,,,,,,,,33953454,33953454,268434,0.79%,101.57,+0.31%,코스닥,713,1030,2765,1962,803,1.40927624872579,2125.0,1.7685352622061483,,,,,-133,0.84,2489.0,
팜스빌 *,6500.0,하락  20,-0.31%,6490.0,6500.0,9713.0,63.0,9640.0,2024-05-12,318010,,,,,,,,50841502,50841502,413106,0.81%,101.57,+0.31%,코스닥,935,907,3134,1705,1429,1.8381231671554252,3366.0,2.0740268028079134,,,,,-735,5.56,331.0,
JW홀딩스,2995.0,하락  10,-0.33%,2985.0,2995.0,36275.0,108.0,18835.0,2024-05-12,096760,,,,,,,,22102155,22102155,860104,3.89%,101.57,+0.31%,코스피,2646,326,15530,7100,8430,2.187323943661972,-12535.0,0.19285254346426273,,,,,-304,4.15,2886.0,
동화약품,8640.0,하락  30,-0.35%,8640.0,8650.0,38317.0,331.0,36197.0,2024-05-12,000020,,,,,,,,60096155,60096155,37932118,63.12%,105.4,+0.31%,코스피,4820,380,14920,7850,7070,1.9006369426751593,-6280.0,0.579088471849866,,,,,-766,1.14,7028.0,
비보존 제약 *,2880.0,하락  10,-0.35%,2870.0,2880.0,59832.0,171.0,32140.0,2024-05-12,082800,1896.0,253.0,172.0,13.35,9.07,717.0,42.62,209973,209973,319,0.15%,101.57,+0.31%,코스닥,124,1697,66100,56900,9200,1.1616871704745166,-63220.0,0.04357034795763994,44750.0,4.0,매수,39.7,1486,5.47,10789.0,0.67
진바이오텍 *,3915.0,하락  15,-0.38%,3915.0,3935.0,20399.0,80.0,11119.0,2024-05-12,086060,,,,,,,,13042420,13042420,506083,3.88%,101.57,+0.31%,코스닥,996,873,10510,7150,3360,1.46993006993007,-6595.0,0.3725023786869648,,,,77.17,99,0.57,13382.0,2.88
현대약품,3775.0,하락  15,-0.40%,3775.0,3785.0,18536.0,70.0,20775.0,2024-05-12,004310,558.0,70.0,56.0,12.54,10.04,315.0,42.05,17772946,17772946,0,0.00%,101.57,+0.31%,코스피,2355,593,15100,13090,2010,1.1535523300229182,-11325.0,0.25,20000.0,4.0,매수,10.54,1257,0.82,16069.0,3.85
유나이티드제약,24400.0,하락  100,-0.41%,24350.0,24400.0,30822.0,753.0,22317.0,2024-05-12,033270,,,,,,,,9140444,9140444,267788,2.93%,101.57,+0.31%,코스피,240,1598,5680,2390,3290,2.3765690376569037,18720.0,4.295774647887324,,,,,-313,1.79,1465.0,
환인제약,14360.0,하락  60,-0.42%,14360.0,14400.0,4136.0,59.0,5560.0,2024-05-12,016580,,,,,,,,8834970,8834970,1835573,20.78%,101.57,+0.31%,코스피,5760,348,88000,47774,40226,1.8420061121111901,-73640.0,0.16318181818181818,86273.0,4.0,매수,51.5,1266,0.85,76420.0,1.05
제일파마홀딩스,11250.0,하락  50,-0.44%,11250.0,11270.0,9990.0,112.0,11501.0,2024-05-12,002620,,,,,,,,14354920,14354920,0,0.00%,101.57,+0.31%,코스피,1148,761,10410,7670,2740,1.3572359843546284,840.0,1.080691642651297,,,,9.15,874,1.03,7791.0,1.25
서울제약 *,3425.0,하락  15,-0.44%,3400.0,3425.0,5910.0,20.0,4752.0,2024-05-12,018680,,,,,,,,57930864,57930864,921518,1.59%,101.57,+0.31%,코스닥,3708,221,9090,6070,3020,1.4975288303130148,-5665.0,0.3767876787678768,,,,15.2,421,3.0,2132.0,1.09
명문제약,2100.0,하락  10,-0.47%,2090.0,2100.0,13985.0,29.0,17027.0,2024-05-12,017180,,,,,,,,28464992,28464992,622381,2.19%,101.57,+0.31%,코스피,1790,502,7110,4615,2495,1.5406283856988083,-5010.0,0.29535864978902954,,,,15.16,415,1.57,3999.0,1.91
JW신약 *,1840.0,하락  9,-0.49%,1839.0,1840.0,54021.0,100.0,97290.0,2024-05-12,067290,,,,,,,,11000000,11000000,209245,1.90%,101.57,+0.31%,코스닥,678,1138,7980,5870,2110,1.3594548551959114,-6140.0,0.23057644110275688,,,,,-447,0.86,7147.0,2.43
퓨쳐켐 *,11970.0,하락  60,-0.50%,11960.0,11970.0,478669.0,5779.0,800440.0,2024-05-12,220100,,,,,,,,49069269,49069269,109866,0.22%,101.57,+0.31%,코스닥,2763,314,8140,5420,2720,1.5018450184501846,3830.0,1.4705159705159705,,,,57.45,98,2.87,1965.0,0.18
프레스티지바이오파마,8020.0,하락  40,-0.50%,8020.0,8040.0,20303.0,162.0,26403.0,2024-05-12,950210,337.0,14.0,15.0,4.15,4.45,,,52240638,52240638,3128029,5.99%,101.57,+0.31%,코스피,17736,165,46750,18400,28350,2.5407608695652173,-38730.0,0.17155080213903742,45333.0,4.0,매수,506.72,67,9.24,3673.0,
JW중외제약2우B,59000.0,하락  300,-0.51%,58500.0,59000.0,327.0,18.0,69.0,2024-05-12,001067,,,,,,,,3800000,3800000,103507,2.72%,101.57,+0.31%,코스피,412,1429,19450,9690,9760,2.007223942208462,39550.0,3.033419023136247,,,,,-179,1.1,9829.0,0.69
안국약품 *,7640.0,하락  40,-0.52%,7640.0,7670.0,13780.0,105.0,6066.0,2024-05-12,001540,,,,,,,,10633173,10633173,4643311,43.67%,101.57,+0.31%,코스닥,1277,687,12420,7880,4540,1.5761421319796953,-4780.0,0.6151368760064412,,,,15.8,760,1.19,10062.0,0.56
하나제약,13250.0,하락  70,-0.53%,13240.0,13250.0,27648.0,366.0,29708.0,2024-05-12,293480,,,,,,,,26100970,26100970,1076794,4.13%,101.57,+0.31%,코스피,1355,798,7990,5020,2970,1.591633466135458,5260.0,1.6583229036295368,,,,,-79,2.98,1741.0,
애드바이오텍 *,2625.0,하락  15,-0.57%,2620.0,2625.0,4857.0,13.0,7089.0,2024-05-12,179530,,,,,,,,52984990,52984990,3948943,7.45%,101.57,+0.31%,코스닥,7301,298,22800,9560,13240,2.3849372384937237,-20175.0,0.11513157894736842,,,,,-1039,2.62,5259.0,
동아에스티,65200.0,하락  400,-0.61%,65200.0,65300.0,10361.0,676.0,15670.0,2024-05-12,170900,1896.0,253.0,172.0,13.35,9.07,717.0,42.62,23285930,23285930,2259774,9.70%,101.57,+0.31%,코스피,7114,308,51492,21626,29866,2.381022842874318,13708.0,1.266216111240581,44750.0,4.0,매수,20.56,1486,2.83,10789.0,1.28
대한뉴팜 *,8000.0,하락  50,-0.62%,7990.0,8000.0,20811.0,167.0,12421.0,2024-05-12,054670,,,,,,,,87826844,87826844,1144141,1.30%,101.57,+0.31%,코스닥,1318,660,1950,1125,825,1.7333333333333334,6050.0,4.102564102564102,,,,53.61,28,2.42,620.0,
바이오플러스 *,6400.0,하락  40,-0.62%,6400.0,6410.0,164605.0,1056.0,76373.0,2024-05-12,099430,,,,,,,,37734811,37734811,0,0.00%,101.57,+0.31%,코스닥,874,963,4500,1500,3000,3.0,1900.0,1.4222222222222223,,,,9.3,249,2.27,1022.0,
동구바이오제약 *,6290.0,하락  40,-0.63%,6290.0,6330.0,104427.0,659.0,138741.0,2024-05-12,006620,,,,,,,,138892244,138892244,6293812,4.53%,101.57,+0.31%,코스닥,2938,293,2830,1993,837,1.4199698946312092,3460.0,2.222614840989399,,,,45.98,46,1.54,1370.0,
고려제약 *,6160.0,하락  40,-0.65%,6160.0,6170.0,10556.0,65.0,8296.0,2024-05-12,014570,2250.0,50.0,,2.22,,,,5009861,5009861,273036,5.45%,101.57,+0.31%,코스닥,3026,509,64300,45400,18900,1.4162995594713657,-58140.0,0.095800933125972,70000.0,4.0,매수,6.44,9383,0.51,118253.0,2.32
국전약품 *,5630.0,하락  40,-0.71%,5630.0,5650.0,163534.0,922.0,236113.0,2024-05-12,307750,509.0,90.0,86.0,17.68,16.9,543.0,23.02,15834554,15834554,536869,3.39%,101.57,+0.31%,코스닥,1979,656,15160,11690,3470,1.296834901625321,-9530.0,0.3713720316622691,16000.0,4.0,매수,7.03,1777,1.21,10294.0,4.0
한올바이오파마,33950.0,하락  250,-0.73%,33950.0,34000.0,224612.0,7726.0,242439.0,2024-05-12,009420,,,,,,,,20000000,20000000,91893,0.46%,101.57,+0.31%,코스피,455,1383,3543,1781,1762,1.9893318360471646,30407.0,9.582274908269827,,,,,-818,1.25,1813.0,
대성미생물 *,10850.0,하락  80,-0.73%,10850.0,10890.0,18381.0,200.0,30164.0,2024-05-12,036480,,,,,,,,13202139,13202139,126237,0.96%,101.57,+0.31%,코스닥,1079,807,13680,6210,7470,2.2028985507246377,-2830.0,0.7931286549707602,,,,13.55,603,1.19,6839.0,1.22
하이텍팜 *,12010.0,하락  90,-0.74%,12010.0,12090.0,52169.0,623.0,79429.0,2024-05-12,106190,1420.0,144.0,114.0,10.16,8.05,545.0,26.87,22190194,22190194,3337468,15.04%,101.57,+0.31%,코스닥,3251,484,19490,13530,5960,1.4405025868440502,-7480.0,0.616213442791175,23667.0,4.0,매수,13.47,1088,1.17,12559.0,2.05
동성제약,5190.0,하락  40,-0.76%,5180.0,5190.0,30025.0,155.0,26064.0,2024-05-12,002210,,,,,,,,33580695,33580695,2233116,6.65%,101.57,+0.31%,코스피,3026,283,20966,6110,14856,3.4314238952536824,-15776.0,0.2475436420871888,,,,,-1405,4.28,2106.0,
신풍제약,13780.0,하락  110,-0.79%,13780.0,13790.0,153362.0,2145.0,129554.0,2024-05-12,019170,,,,,,,,17752276,17752276,439031,2.47%,101.57,+0.31%,코스피,1702,536,12680,6010,6670,2.10981697171381,1100.0,1.086750788643533,,,,25.24,380,1.7,5655.0,1.04
JW중외제약,30550.0,하락  250,-0.81%,30550.0,30600.0,60084.0,1834.0,73446.0,2024-05-12,001060,3320.0,285.0,208.0,8.57,6.26,1968.0,57.27,11586575,11586575,1094413,9.45%,101.57,+0.31%,코스피,12826,201,127600,88300,39300,1.4450736126840318,-97050.0,0.23942006269592475,162857.0,4.0,매수,10.54,10507,1.66,66686.0,0.54
아미노로직스 *,1501.0,하락  13,-0.86%,1498.0,1501.0,133303.0,200.0,99352.0,2024-05-12,074430,,,,,,,,39378420,39378420,313210,0.80%,101.57,+0.31%,코스닥,423,1418,1464,970,494,1.5092783505154639,37.0,1.025273224043716,,,,12.79,84,1.1,978.0,
모아라이프플러스 *,2315.0,하락  20,-0.86%,2315.0,2320.0,367929.0,856.0,649122.0,2024-05-12,142760,,,,,,,,12621492,12621492,1035058,8.20%,101.57,+0.31%,코스닥,2733,318,27250,17970,9280,1.5164162493043962,-24935.0,0.08495412844036697,,,,7.12,3041,0.53,40972.0,2.42
CMG제약 *,2115.0,하락  20,-0.94%,2110.0,2115.0,186972.0,398.0,172786.0,2024-05-12,058820,,,,,,,,28062501,28062501,1585022,5.65%,101.57,+0.31%,코스닥,4333,399,24450,14380,10070,1.700278164116829,-22335.0,0.08650306748466258,25000.0,4.0,매수,,-2912,2.55,6045.0,
종근당홀딩스,60400.0,하락  600,-0.98%,60400.0,60500.0,3500.0,211.0,1366.0,2024-05-12,001630,553.0,39.0,22.0,7.04,4.04,263.0,325.97,18933904,18933904,845699,4.47%,101.57,+0.31%,코스피,17268,24,103100,59900,43200,1.7212020033388982,-42700.0,0.585838991270611,106667.0,4.0,매수,87.61,1041,4.46,20445.0,0.55
JW생명과학,12500.0,하락  130,-1.03%,12500.0,12560.0,10405.0,130.0,15691.0,2024-05-12,234080,2492.0,206.0,146.0,8.25,5.86,244.0,44.82,68690000,68690000,6355722,9.25%,101.57,+0.31%,코스피,7556,291,13750,7440,6310,1.8481182795698925,-1250.0,0.9090909090909091,16333.0,4.0,매수,18.8,585,1.32,8331.0,0.91
그린생명과학 *,2275.0,하락  25,-1.09%,2270.0,2275.0,13193.0,30.0,21208.0,2024-05-12,114450,,,,,,,,2200000,2200000,2789,0.13%,101.57,+0.31%,코스닥,534,1152,39400,16150,23250,2.4396284829721364,-37125.0,0.057741116751269035,,,,,-1039,4.61,5259.0,
위더스제약 *,8170.0,하락  90,-1.09%,8160.0,8170.0,10155.0,83.0,21134.0,2024-05-12,330350,,,,,,,,24181020,24181020,322287,1.33%,101.57,+0.31%,코스닥,1913,467,15900,7710,8190,2.062256809338521,-7730.0,0.5138364779874214,,,,,-645,2.51,3156.0,
대원제약,14650.0,하락  170,-1.15%,14650.0,14670.0,47056.0,692.0,37470.0,2024-05-12,003220,,,,,,,,68391550,68391550,1768842,2.59%,101.57,+0.31%,코스피,23287,143,56200,29850,26350,1.882747068676717,-41550.0,0.2606761565836299,,,,20.69,1646,2.93,11621.0,0.59
메드팩토 *,9010.0,하락  110,-1.21%,9010.0,9020.0,214423.0,1937.0,180519.0,2024-05-12,235980,,,,,,,,68454671,68454671,3242204,4.74%,101.57,+0.31%,코스닥,4518,392,9000,5460,3540,1.6483516483516483,10.0,1.001111111111111,,,,,-441,2.0,3306.0,
녹십자웰빙 *,9590.0,하락  120,-1.24%,9590.0,9620.0,85900.0,824.0,114490.0,2024-05-12,234690,2628.0,197.0,,7.5,,,,6348913,6348913,964237,15.19%,101.57,+0.31%,코스닥,6698,325,121400,76800,44600,1.5807291666666667,-111810.0,0.07899505766062603,152500.0,4.0,매수,11.55,9134,0.65,161977.0,2.09
대웅제약,110700.0,"하락  1,400",-1.25%,110700.0,110900.0,17844.0,1987.0,22380.0,2024-05-12,069620,,,,,,,,21721650,21721650,1051936,4.84%,101.57,+0.31%,코스피,3300,256,19150,9118,10032,2.100241280982672,91550.0,5.780678851174935,28000.0,4.0,매수,,-662,5.67,2677.0,
휴럼 *,1074.0,하락  14,-1.29%,1070.0,1074.0,72159.0,77.0,68180.0,2024-05-12,353190,,,,,,,,31746701,31746701,0,0.00%,101.57,+0.31%,코스닥,9651,68,42050,11780,30270,3.569609507640068,-40976.0,0.0255410225921522,,,,,-666,10.45,2908.0,
휴온스글로벌 *,21650.0,하락  300,-1.37%,21600.0,21650.0,11197.0,243.0,8610.0,2024-05-12,084110,,,,,,,,56112263,56112263,338577,0.60%,101.57,+0.31%,코스닥,992,875,2395,1078,1317,2.2217068645640072,19255.0,9.039665970772443,,,,17.33,102,2.3,770.0,
일동제약,15440.0,하락  220,-1.40%,15440.0,15450.0,71192.0,1106.0,56829.0,2024-05-12,249420,,,,,,,,13855342,13855342,354281,2.56%,101.57,+0.31%,코스피,2077,420,21350,8250,13100,2.587878787878788,-5910.0,0.7231850117096019,,,,,-836,4.96,3021.0,
엔솔바이오사이언스,4230.0,하락  65,-1.51%,4215.0,4230.0,5248.0,22371.0,14912.0,2024-05-12,140610,,,,,,,,18616650,18616650,207299,1.11%,101.57,+0.31%,코스피,1890,475,15980,7390,8590,2.162381596752368,-11750.0,0.2647058823529412,,,,,-62,2.43,4181.0,1.48
에스티팜 *,91200.0,"하락  1,400",-1.51%,91200.0,91300.0,114373.0,10542.0,221182.0,2024-05-12,237690,,,,,,,,11898263,11898263,117983,0.99%,101.57,+0.31%,코스닥,1280,684,12300,5900,6400,2.0847457627118646,78900.0,7.414634146341464,,,,33.52,321,1.09,9900.0,0.93
보령,11000.0,하락  170,-1.52%,11000.0,11010.0,152284.0,1680.0,69777.0,2024-05-12,003850,1456.0,122.0,110.0,8.35,7.52,,,11979665,11979665,2736681,22.84%,101.57,+0.31%,코스피,4061,196,49500,28900,20600,1.71280276816609,-38500.0,0.2222222222222222,57667.0,4.0,매수,8.03,4223,1.24,27406.0,1.86
신풍제약우,24250.0,하락  400,-1.62%,24250.0,24300.0,5672.0,138.0,2370.0,2024-05-12,019175,,,,,,,,107621909,107621909,9997731,9.29%,101.57,+0.31%,코스피,16283,28,24361,8048,16313,3.0269632206759445,-111.0,0.9954435368006239,,,,,-57,6.68,2266.0,
씨티씨바이오 *,7910.0,하락  130,-1.62%,7900.0,7910.0,24918.0,199.0,51830.0,2024-05-12,060590,,,,,,,,19165740,19165740,117454,0.61%,101.57,+0.31%,코스닥,859,971,7900,4510,3390,1.7516629711751663,10.0,1.0012658227848101,,,,,-937,1.2,3730.0,
한미사이언스,34050.0,하락  600,-1.73%,34000.0,34050.0,119693.0,4120.0,107434.0,2024-05-12,008930,,,,,,,,130830364,130830364,25698764,19.64%,101.57,+0.31%,코스피,132139,2,129000,27550,101450,4.682395644283122,-94950.0,0.26395348837209304,,,,,-1469,25.04,4034.0,
부광약품,6600.0,하락  120,-1.79%,6600.0,6610.0,184849.0,1225.0,659661.0,2024-05-12,003000,,,,,,,,25862493,25862493,133359,0.52%,101.57,+0.31%,코스피,1922,462,11370,6290,5080,1.807631160572337,-4770.0,0.5804749340369393,,,,,-703,2.98,2497.0,
동아쏘시오홀딩스,105500.0,"하락  2,000",-1.86%,105500.0,105800.0,8208.0,870.0,7341.0,2024-05-12,000640,412.0,103.0,76.0,24.9,18.51,680.0,52.74,11229930,11229930,534472,4.76%,101.57,+0.31%,코스피,3796,215,44500,26750,17750,1.6635514018691588,61000.0,2.3707865168539324,53333.0,4.0,매수,14.61,2314,1.77,19055.0,1.55
에이프릴바이오 *,15190.0,하락  290,-1.87%,15190.0,15200.0,134956.0,2065.0,166529.0,2024-05-12,397030,,,,,,,,27922396,27922396,705463,2.53%,101.57,+0.31%,코스닥,1279,685,6040,2275,3765,2.654945054945055,9150.0,2.5149006622516556,,,,,-546,10.88,421.0,
HLB제약 *,30400.0,하락  850,-2.72%,30350.0,30400.0,330123.0,10167.0,448576.0,2024-05-12,047920,,,,,,,,85065562,85065562,7670858,9.02%,101.57,+0.31%,코스닥,1666,545,2220,1110,1110,2.0,28180.0,13.693693693693694,,,,,-110,0.86,2273.0,
씨엔알리서치 *,1768.0,하락  51,-2.80%,1767.0,1768.0,2015844.0,3553.0,1546839.0,2024-05-12,359090,,,,,,,,20467248,20467248,728512,3.56%,101.57,+0.31%,코스닥,572,1242,10200,2060,8140,4.951456310679611,-8432.0,0.17333333333333334,,,,,-1366,2.79,1001.0,
