종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
동국제약 *,17000.0,상승  270,+1.61%,17000.0,17020.0,181647.0,3092.0,44486.0,2024-05-12,086450,1078.0,68.0,-12.0,6.36,-1.16,,,78313250,78313250,7934461,10.13%,101.57,+0.31%,코스닥,7325,57,104800,69200,35600,1.5144508670520231,-87800.0,0.16221374045801526,124000.0,4.0,매수,,-420,24.79,3622.0,
SK바이오팜,89800.0,"상승  1,400",+1.58%,89800.0,89900.0,113434.0,10299.0,91951.0,2024-05-12,326030,,,,,,,,28310000,28310000,205677,0.73%,101.57,+0.31%,코스피,636,1175,4584,2090,2494,2.1933014354066986,85216.0,19.589877835951135,,,,,-391,0.83,2707.0,
프롬바이오 *,2245.0,상승  35,+1.58%,2230.0,2245.0,208814.0,472.0,129796.0,2024-05-12,377220,,,,,,,,41585174,41585174,3348922,8.05%,101.57,+0.31%,코스닥,4795,7,133300,57785,75515,2.3068270312364803,-131055.0,0.0168417104276069,,,,191.98,511,10.79,9095.0,
셀트리온제약 *,98100.0,"상승  1,500",+1.55%,98000.0,98100.0,108678.0,10725.0,174407.0,2024-05-12,068760,2169.0,174.0,121.0,8.03,5.57,427.0,91.52,28329891,28329891,2561457,9.04%,101.57,+0.31%,코스닥,1723,54,47450,27900,19550,1.700716845878136,50650.0,2.0674394099051634,54917.0,4.0,매수,22.79,1661,0.89,42487.0,0.93
HK이노엔 *,37850.0,상승  500,+1.34%,37800.0,37850.0,128436.0,4794.0,155140.0,2024-05-12,195940,,,,,,,,28889293,28889293,499523,1.73%,101.57,+0.31%,코스닥,329,1513,2095,1083,1012,1.9344413665743305,35755.0,18.066825775656323,,,,,-41,0.98,1161.0,
우진비앤지 *,1138.0,상승  12,+1.07%,1138.0,1139.0,70314.0,80.0,37755.0,2024-05-12,018620,,,,,,,,30979827,30979827,190762,0.62%,101.57,+0.31%,코스닥,512,1322,2410,1570,840,1.535031847133758,-1272.0,0.4721991701244813,,,,,-339,1.25,1323.0,
조아제약 *,1653.0,상승  16,+0.98%,1653.0,1657.0,33956.0,56.0,15943.0,2024-05-12,034940,,,,,,,,12016877,12016877,125183,1.04%,101.57,+0.31%,코스닥,663,1153,6900,5350,1550,1.2897196261682242,-5247.0,0.23956521739130435,,,,5.23,1055,0.66,8301.0,2.72
진양제약 *,5520.0,상승  50,+0.91%,5510.0,5520.0,15573.0,85.0,5569.0,2024-05-12,007370,,,,,,,,21836250,21836250,199676,0.91%,101.57,+0.31%,코스닥,782,1039,3820,1710,2110,2.2339181286549707,1700.0,1.4450261780104712,,,,,-126,3.01,1191.0,
에이디엠코리아 *,3580.0,상승  30,+0.85%,3570.0,3580.0,197314.0,697.0,386735.0,2024-05-12,187660,,,,,,,,5485962,5485962,75388,1.37%,101.57,+0.31%,코스닥,1328,805,27500,19050,8450,1.4435695538057742,-23920.0,0.13018181818181818,,,,,-4410,1.08,22425.0,
종근당바이오,24200.0,상승  200,+0.83%,24150.0,24200.0,2438.0,58.0,6099.0,2024-05-12,063160,,,,,,,,16153162,16153162,498128,3.08%,101.57,+0.31%,코스피,1008,858,9550,4465,5085,2.138857782754759,14650.0,2.5340314136125652,,,,9.37,666,0.71,8811.0,1.6
옵투스제약 *,6240.0,상승  50,+0.81%,6220.0,6240.0,108776.0,672.0,105825.0,2024-05-12,131030,,,,,,,,18754848,18754848,723890,3.86%,101.57,+0.31%,코스닥,1909,468,13880,7470,6410,1.85809906291834,-7640.0,0.4495677233429395,18000.0,4.0,매수,8.66,1175,0.9,11311.0,1.97
노바렉스 *,10180.0,상승  80,+0.79%,10150.0,10180.0,116874.0,1196.0,110555.0,2024-05-12,194700,,,,,,,,10906701,10906701,72874,0.67%,101.57,+0.31%,코스닥,2113,414,29450,15020,14430,1.9607190412782955,-19270.0,0.34567062818336164,,,,2421.25,8,3.08,6288.0,0.26
한국파마 *,19370.0,상승  150,+0.78%,19330.0,19370.0,18158.0,351.0,8726.0,2024-05-12,032300,9180.0,2214.0,1719.0,24.12,18.73,2428.0,321.64,71174000,71174000,8511828,11.96%,101.57,+0.31%,코스닥,56139,4,880000,668000,212000,1.3173652694610778,-860630.0,0.022011363636363638,1015882.0,4.0,매수,65.31,12051,5.7,138119.0,
삼성바이오로직스,787000.0,"상승  6,000",+0.77%,787000.0,788000.0,39687.0,31308.0,82989.0,2024-05-12,207940,,,,,,,,8453556,8453556,92855,1.10%,101.57,+0.31%,코스피,886,948,32750,8710,24040,3.760045924225029,754250.0,24.03053435114504,,,,,-3145,20.88,502.0,
인벤티지랩 *,10480.0,상승  80,+0.77%,10470.0,10480.0,42000.0,437.0,35958.0,2024-05-12,389470,,,,,,,,18178525,18178525,367084,2.02%,101.57,+0.31%,코스닥,983,921,7440,5070,2370,1.467455621301775,3040.0,1.4086021505376345,,,,15.41,351,0.43,12707.0,
팜젠사이언스,5410.0,상승  40,+0.74%,5400.0,5410.0,54927.0,296.0,27945.0,2024-05-12,004720,,,,,,,,31761048,31761048,2176203,6.85%,101.57,+0.31%,코스피,4764,157,18480,7240,11240,2.552486187845304,-13070.0,0.29274891774891776,,,,102.04,147,2.56,5863.0,
듀켐바이오,7200.0,상승  50,+0.70%,7100.0,7200.0,2174.0,15488.0,783.0,2024-05-12,176750,,,,,,,,30768766,30768766,421979,1.37%,101.57,+0.31%,코스피,1969,441,8420,6120,2300,1.3758169934640523,-1220.0,0.8551068883610451,,,,,-673,0.76,8409.0,6.25
바이넥스 *,15000.0,상승  100,+0.67%,15000.0,15030.0,1072271.0,16325.0,765109.0,2024-05-12,053030,,,,,,,,88970559,88970559,1340675,1.51%,101.57,+0.31%,코스닥,433,1408,930,322,608,2.888198757763975,14070.0,16.129032258064516,,,,,-2,1.38,353.0,
HLB사이언스,3020.0,상승  20,+0.67%,3000.0,3020.0,20945.0,62675.0,23858.0,2024-05-12,343090,,,,,,,,17780225,17780225,338566,1.90%,101.57,+0.31%,코스피,5770,124,82312,28350,53962,2.9034215167548503,-79292.0,0.03668966857809311,,,,,-2307,6.78,4786.0,
플럼라인생명과학,6190.0,상승  40,+0.65%,5840.0,6190.0,51.0,317.0,36.0,2024-05-12,222670,3421.0,266.0,209.0,7.76,6.11,983.0,104.99,13174420,13174420,1841827,13.98%,101.57,+0.31%,코스피,13596,191,136500,69571,66929,1.9620244067211914,-130310.0,0.04534798534798535,151750.0,4.0,매수,6.4,16131,1.61,64101.0,1.02
경동제약 *,6400.0,상승  40,+0.63%,6390.0,6400.0,22146.0,141.0,252683.0,2024-05-12,011040,,,,,,,,15327021,15327021,134514,0.88%,101.57,+0.31%,코스닥,794,1023,7480,4965,2515,1.5065458207452165,-1080.0,0.8556149732620321,,,,25.9,200,0.87,5933.0,2.51
프로젠,6430.0,상승  40,+0.63%,6430.0,6440.0,1974.0,12625.0,1686.0,2024-05-12,296160,,,,,,,,17032351,17032351,156840,0.92%,101.57,+0.31%,코스피,809,989,7440,4160,3280,1.7884615384615385,-1010.0,0.864247311827957,,,,,-364,0.79,5976.0,
비엘팜텍 *,487.0,상승  3,+0.62%,487.0,488.0,100389.0,49.0,47917.0,2024-05-12,065170,,,,,,,,15170500,15170500,237135,1.56%,101.57,+0.31%,코스닥,857,972,8540,3860,4680,2.2124352331606216,-8053.0,0.05702576112412178,,,,18.34,308,1.38,4106.0,1.06
