지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,1984-01-01,-4.8,-9.7,710,-.2,1505,1.07,,,,,0,3.8,70,1019,1.8,70,1011,.2,193,50
108,서울,1984-01-02,-.8,-2.5,13,.1,2400,18.42,,,,,4.8,5.7,20,801,3,20,810,1.1,983,20
108,서울,1984-01-03,-2.1,-6.5,2400,.1,0,11.57,,,,,3.3,9.5,290,1438,6.7,290,1445,3,2572,290
108,서울,1984-01-04,-7.4,-9.3,2400,-5.2,1515,,,,,,,8.1,290,1201,5.7,290,1211,2.1,1783,290
108,서울,1984-01-05,-8.7,-12,821,-4.7,1541,,,,,,,7.2,320,1021,5,320,1025,1.2,1029,290
108,서울,1984-01-06,-7.4,-12.1,803,-2.3,1558,,,,,,,4.7,250,1605,3.7,250,1610,.7,582,50
108,서울,1984-01-07,-5.1,-9.3,535,-1.6,1519,3.92,,,,,0,4.4,70,831,2.5,70,1120,.3,260,70
108,서울,1984-01-08,-4.8,-8.2,732,-.7,1707,.85,,,,,0,4.2,50,1031,2.3,50,822,.6,476,50
108,서울,1984-01-09,-1.5,-7.5,328,4.1,1633,,,,,,,7.7,230,1331,5.5,230,1340,1.5,1336,50
108,서울,1984-01-10,-.1,-3.8,2400,3.3,1525,,,,,,,14,290,1420,8.3,290,1423,3,2566,20
108,서울,1984-01-11,-3.4,-6.9,802,-.2,1543,,,,,,,7.6,270,1422,6.2,270,1508,2.5,2195,290
108,서울,1984-01-12,-4.1,-7.9,650,-1.4,1335,5.43,,,,,.6,5.1,320,2345,4.2,320,2350,1.7,1465,50
108,서울,1984-01-13,-3,-6.1,817,.9,1453,,,,,,,5.3,290,36,4,290,0,1.6,1359,290
108,서울,1984-01-14,-1.7,-6.2,120,2.9,2050,3.02,,,,,0,7.3,290,2217,5,290,2219,2.1,1793,70
108,서울,1984-01-15,-6,-10.2,2400,.3,10,,,,,,,10.5,290,1103,7,290,1110,4.6,4002,290
108,서울,1984-01-16,-10,-13.3,820,-5.6,1536,,,,,,,10.6,290,1202,6,270,1310,2.9,2491,270
108,서울,1984-01-17,-9.7,-12.9,804,-5.2,1558,,,,,,,7.6,290,1427,5.7,290,1429,2,1733,270
108,서울,1984-01-18,-8.3,-11.4,730,-5,1510,,,,,,,6.7,270,1635,5.5,270,1640,1.9,1638,320
108,서울,1984-01-19,-6.9,-10.3,825,-2.3,1532,,,,,,,6.8,270,1451,5.2,270,1458,2,1756,270
108,서울,1984-01-20,-7.5,-11.2,805,-3.1,1531,,,,,,,6.3,290,1758,4.7,290,1802,1.6,1386,290
108,서울,1984-01-21,-4.8,-9.3,750,.9,1439,4.63,,,,,1.1,14.5,270,2320,7,320,2340,1.6,1366,20
108,서울,1984-01-22,-8.1,-11.8,830,-4.1,1601,,,,,,,9.1,290,0,6,290,0,2.7,2362,290
108,서울,1984-01-23,-6.5,-10.7,655,-.6,1524,,,,,,,6.1,290,1643,4.3,290,1647,1.7,1482,290
108,서울,1984-01-24,-6,-8.5,520,-2.2,1604,3.17,,,,,.9,9.9,290,1729,6,290,1730,2.4,2062,290
108,서울,1984-01-25,-8.7,-11.4,2400,-5.3,1511,,,,,,,13,290,1323,7.5,290,1410,3.9,3328,270
108,서울,1984-01-26,-10.1,-13.6,752,-5.9,1632,,,,,,,11.2,270,1704,8.3,290,1348,4,3422,270
108,서울,1984-01-27,-10.1,-13.6,655,-5.9,1552,,,,,,,10.2,270,1254,6.3,270,1500,2.4,2115,270
108,서울,1984-01-28,-9.2,-12.6,600,-5.3,1512,,,,,,,9.9,290,1341,6.7,290,1420,3.2,2792,290
108,서울,1984-01-29,-8.2,-12.4,810,-3,1356,,,,,,,8.3,270,1729,5.5,270,1730,1.6,1359,270
108,서울,1984-01-30,-4.4,-7.7,722,-.8,1426,,,,,,,5.7,270,1641,4.5,270,1650,1.7,1486,320
108,서울,1984-01-31,-2.4,-5.6,805,3.8,1525,,,,,,,7.4,290,1700,5.7,290,1705,2.1,1813,270
108,서울,1984-02-01,-3.4,-6.5,804,1.9,1642,4.38,,,,,1.1,19.2,250,1816,10,270,1948,3.4,2935,50
108,서울,1984-02-02,-11.2,-14.2,2400,-5.7,0,.9,,,,,.2,11.6,320,145,7.8,290,240,4.3,3715,290
108,서울,1984-02-03,-10.2,-15,415,-3.4,1545,,,,,,,5.9,270,1436,4.3,270,1445,1.6,1378,270
108,서울,1984-02-04,-5.6,-9.9,805,-.2,1528,,,,,,,5,230,1442,3.5,290,1600,1.3,1112,290
108,서울,1984-02-05,-5.3,-10.4,2400,-1.2,1224,,,,,,,12.6,290,1450,10,290,1500,3.7,3172,290
108,서울,1984-02-06,-12.1,-15.1,804,-8.4,1451,,,,,,,13,290,1241,8.2,290,1355,4.8,4178,290
108,서울,1984-02-07,-11,-14,650,-6.3,1628,,,,,,,10.6,270,9,6,290,1211,3.9,3396,290
108,서울,1984-02-08,-9.3,-13.4,400,-3.5,1611,,,,,,,15.9,290,1423,10.7,290,1450,3.6,3123,290
108,서울,1984-02-09,-8.2,-12.7,729,-3.2,1608,,,,,,,10,270,1235,5.7,270,1240,2.3,2005,270
108,서울,1984-02-10,-5.8,-11.2,752,-.1,1513,,,,,,,5,290,1637,4,290,1803,1.3,1144,50
108,서울,1984-02-11,-2.2,-7.3,520,5,1431,,,,,,,6.4,270,1610,5,270,1610,1.7,1495,20
108,서울,1984-02-12,-.7,-5.4,810,5.1,1426,,,,,,,8.2,290,1550,6.2,270,1650,2.1,1825,290
108,서울,1984-02-13,-1.6,-4.9,631,2.8,1632,2.75,,,,,.1,7.1,320,2224,4.7,250,1648,2.1,1783,290
108,서울,1984-02-14,-2.8,-5.7,735,2,1637,,,,,,,10.7,270,1601,6.5,270,1620,3.1,2672,270
108,서울,1984-02-15,-3.6,-6.5,543,1.4,1448,,,,,,,10.9,270,1438,6.3,270,1510,3,2557,270
108,서울,1984-02-16,-4.2,-8.2,734,.3,1509,,,,,,,5.6,290,1616,3.7,290,1619,1.6,1402,270
108,서울,1984-02-17,-1.9,-4.6,920,2,1445,,,,,,,10.7,290,1545,6,320,2200,3,2610,290
108,서울,1984-02-18,-2,-6.2,742,4.3,1600,,,,,,,10.3,230,1628,5.5,290,1322,3.3,2818,290
108,서울,1984-02-19,-1.5,-6.1,703,3.7,1446,,,,,,,7.2,230,1447,5,270,1802,2.2,1865,270
108,서울,1984-02-20,-.3,-5,638,6.6,1512,,,,,,,7.4,270,1838,5.5,270,1840,2.1,1856,290
108,서울,1984-02-21,1.5,-3.5,753,8,1604,,,,,,,8,270,1822,6.3,270,1828,1.9,1658,50
108,서울,1984-02-22,2.8,-1.2,235,5.1,1206,3.88,,,,,.6,9.2,70,1852,5.2,70,1853,3.1,2688,70
108,서울,1984-02-23,1.3,.2,750,4.1,1655,9.65,,,,,5.8,7.3,320,1854,5,320,1900,2.7,2345,290
108,서울,1984-02-24,3.4,-.9,655,7.8,1352,,,,,,,5,290,1401,3.5,290,106,1.6,1364,290
108,서울,1984-02-25,4.8,2.4,2400,6.7,1525,4.83,,,,,2.2,6.1,70,303,4,70,239,2.2,1943,70
108,서울,1984-02-26,-.3,-5.1,2400,2.6,1351,4.75,,,,,4.9,14.6,270,1441,8.3,270,1450,5.1,4417,270
108,서울,1984-02-27,-4.4,-6.6,728,-.9,1454,,,,,,,12.7,270,1503,8.3,270,1509,5.4,4696,290
108,서울,1984-02-28,-4.3,-8.1,625,-.1,1509,,,,,,,10,270,1451,6.7,270,1500,3.4,2896,270
108,서울,1984-02-29,-4.4,-8.1,755,.6,1650,,,,,,,11.8,250,1555,6.7,270,1600,3.8,3290,270
108,서울,1984-03-01,-.5,-3.9,708,4.6,1514,7.35,,,,,.8,12.5,200,1347,8.7,200,1327,3.2,2785,200
108,서울,1984-03-02,-.6,-3.9,723,3.3,1421,2.2,,,,,.4,11.5,270,1434,8.3,230,1743,4.7,4056,270
108,서울,1984-03-03,-2.3,-5.4,715,1.7,1352,.25,,,,,0,13.7,270,1602,7.3,270,1610,4.2,3602,270
108,서울,1984-03-04,-2.5,-6.5,730,3,1525,,,,,,,9.2,250,1436,6,250,1440,2.5,2122,270
108,서울,1984-03-05,-.8,-4.6,722,4,1509,1.12,,,,,0,7.3,250,1500,5,250,1534,2.1,1856,50
108,서울,1984-03-06,-.3,-4.9,720,5.3,1511,1.25,,,,,0,11.5,270,1601,6.8,270,1620,3.4,2978,270
108,서울,1984-03-07,.7,-3.5,610,5.9,1457,,,,,,,13.7,270,1617,8.5,270,1609,3.5,2986,270
108,서울,1984-03-08,2,-2.1,651,7.5,1453,,,,,,,11.2,270,1516,6.3,270,1520,2.6,2204,270
108,서울,1984-03-09,2,-1.3,600,7.8,1311,2.33,,,,,2.3,14,230,1907,8.5,230,1910,3.5,3040,50
108,서울,1984-03-10,-1,-3.8,751,3,1425,.98,,,,,0,12.5,270,1651,7.7,270,1702,5,4333,270
108,서울,1984-03-11,1.7,-4.2,710,6.7,1440,.88,,,,,0,16,230,1247,10.3,230,1251,4.8,4126,230
108,서울,1984-03-12,2.2,-.5,830,6.3,1440,,,,,,,12.8,230,15,8.8,230,15,4.4,3766,270
108,서울,1984-03-13,2.6,-1.5,610,7.7,1510,,,,,,,6.4,70,1325,4.2,290,250,1.8,1594,50
108,서울,1984-03-14,6.6,1.2,656,12,1455,,,,,,,7,270,1629,5.3,270,1638,1.9,1632,70
108,서울,1984-03-15,5,3.1,718,7.5,1542,.3,,,,,0,7.8,290,1654,5.8,290,1700,2.1,1805,270
108,서울,1984-03-16,4.3,1.3,2400,7.6,1252,5.5,,,,,2.2,15.6,270,1338,8.7,270,1347,4.7,4077,270
108,서울,1984-03-17,2.6,.3,2400,7.3,1407,,,,,,,12.7,270,1530,8.2,270,1535,5.2,4497,270
108,서울,1984-03-18,3.5,-2.2,615,8.8,1343,,,,,,,6.6,270,1818,4.7,290,1710,1.9,1601,20
108,서울,1984-03-19,6.6,1.5,2400,11.6,1517,,,,,,,11.2,270,1656,7.3,270,1704,3,2624,270
108,서울,1984-03-20,1,-1.7,703,6.1,1216,7.53,,,,,3.2,10.1,270,1308,7.8,270,1312,2.6,2218,250
108,서울,1984-03-21,1.3,-2.1,721,6.5,1553,.67,,,,,0,11,340,340,5.7,270,1431,3.6,3121,270
108,서울,1984-03-22,1.6,-1.8,450,7.5,1519,,,,,,,9.4,230,1350,5.3,270,1820,2.5,2134,270
108,서울,1984-03-23,3.1,-1.8,600,7.9,1413,,,,,,,6.8,200,1345,4.5,250,1449,2.1,1779,70
108,서울,1984-03-24,2.9,.7,2400,7.6,1429,4,,,,,1.2,13.5,270,1503,8.3,270,1505,4.2,3615,270
108,서울,1984-03-25,2.3,-2.2,2400,8.3,1321,.92,,,,,.1,15.8,270,1558,8.3,270,1600,4.5,3866,230
108,서울,1984-03-26,1.2,-5,633,7.1,1446,,,,,,,8.5,270,1334,5.7,270,1341,2.4,2048,270
108,서울,1984-03-27,3.5,.7,600,8.2,1632,2.92,,,,,.4,8,270,1821,6,270,1700,2.5,2117,270
108,서울,1984-03-28,3.7,-1.3,612,9.1,1316,.67,,,,,0,11.5,270,1621,7.5,270,1620,3,2614,230
108,서울,1984-03-29,9.2,5.5,0,14.2,1610,1.1,,,,,.8,13.8,230,1344,9,230,1349,3.9,3382,230
108,서울,1984-03-30,9.1,6.5,1652,12.7,1042,4.47,,,,,0,8.8,270,1509,6.7,290,1450,2.3,1989,70
108,서울,1984-03-31,6.2,4,2400,8.4,1656,,,,,,,8.8,70,747,5.3,70,920,3.1,2704,70
108,서울,1984-04-01,7.8,2.5,641,15,1545,,,,,,,8.6,270,1658,6.5,270,1705,2.4,2035,70
108,서울,1984-04-02,7.9,3.6,635,12.9,1454,,,,,,,10.4,270,1618,7,270,1626,2.7,2341,70
108,서울,1984-04-03,12.2,6.2,645,20.3,1555,,,,,,,7.8,230,1657,6,230,1705,1.8,1554,70
108,서울,1984-04-04,14.8,10.1,235,20.2,1521,1.57,0,,0,,0,11.7,70,2117,5.5,70,2035,2.8,2409,70
108,서울,1984-04-05,8.9,2.4,2400,13.6,0,12.08,.9,350,4.6,350,11,12.7,290,2038,8.8,290,2040,4.1,3514,290
108,서울,1984-04-06,3.7,.1,623,8.4,1430,,,,,,,10.6,230,1551,6.5,230,1600,3.8,3304,270
108,서울,1984-04-07,6,.4,641,13.5,1447,,,,,,,9.1,270,1603,7,250,1509,3.1,2689,250
108,서울,1984-04-08,10.2,2.5,600,16.9,1452,,,,,,,7,50,720,3.8,70,940,1.9,1654,70
108,서울,1984-04-09,10.5,7.4,2400,15.3,1454,,,,,,,8.5,230,1611,6.7,230,1610,2.5,2129,90
108,서울,1984-04-10,11.1,4.5,652,18.5,1631,,,,,,,9.2,290,1717,6.8,290,1733,2.3,2017,290
108,서울,1984-04-11,12,6.9,544,18.8,1555,.08,0,,0,,0,10,270,1638,6.7,270,1630,2.8,2383,230
108,서울,1984-04-12,12.3,5.7,620,20,1301,,,,,,,9.1,270,1713,6.8,270,1715,2.7,2291,270
108,서울,1984-04-13,12.2,7.3,625,19.1,1433,,,,,,,9.8,230,1452,7.3,250,1537,3.3,2883,270
108,서울,1984-04-14,12.4,7.3,630,19.3,1609,1.03,0,,0,,0,8.9,230,1248,6,230,1250,2.5,2155,290
108,서울,1984-04-15,13.9,10.4,635,18.4,1242,5.17,.4,2004,1.1,1935,1.8,9,230,1320,6.7,230,1316,2.1,1821,50
108,서울,1984-04-16,16.9,12.9,332,21.6,1610,1.62,0,,0,,0,12.2,230,1533,9,230,1516,3.9,3343,230
108,서울,1984-04-17,13.7,10.7,2400,18.2,0,15.82,.4,1650,1.4,1650,4.8,15.1,230,55,8.8,230,130,4.2,3594,230
108,서울,1984-04-18,10.4,7.8,2400,13.2,1009,9.17,.4,13,1.1,13,2.6,12,70,1630,7.5,70,1612,3,2573,70
108,서울,1984-04-19,12.1,6.8,600,17.8,1558,,,,,,,9.3,90,1159,5,90,1259,3,2577,50
108,서울,1984-04-20,12.4,5.4,608,19.2,1550,,,,,,,6.5,270,1720,6,270,1710,2,1702,50
108,서울,1984-04-21,12.8,8.6,502,17.8,1254,,,,,,,10.5,290,1448,8,290,1452,3.2,2724,290
108,서울,1984-04-22,12.4,7.4,620,18.9,1423,,,,,,,10.2,270,1429,7,270,1430,3,2635,250
108,서울,1984-04-23,13.8,7.6,620,20.9,1405,,,,,,,8.8,270,1452,5.8,270,1456,2.4,2059,270
108,서울,1984-04-24,15.7,8.8,622,23,1519,,,,,,,8.5,250,1609,5.5,250,1611,2.5,2185,270
108,서울,1984-04-25,15.9,12.1,2300,21.4,1406,8.55,.4,2200,1,2110,2.8,16.8,200,1511,10.5,200,1535,2.6,2289,70
108,서울,1984-04-26,13.3,11.6,423,15.5,1700,14.85,.7,750,2.1,720,6.6,6.6,70,330,4,70,333,2,1768,50
108,서울,1984-04-27,15.9,13.1,328,20.6,1515,.48,.1,505,.1,446,.1,9,270,1327,6,270,1440,2.6,2283,70
108,서울,1984-04-28,13.8,11.9,1907,18.4,1208,9.88,1.1,1857,4.2,1837,8.8,8.7,270,1351,6.3,270,1444,2.3,2012,270
108,서울,1984-04-29,14.7,9.7,620,20.9,1600,,,,,,,7.4,230,1338,5.3,230,1340,2.5,2143,270
108,서울,1984-04-30,13.4,9.6,2253,19.6,1225,1.83,.7,2340,1.9,2250,3.3,11.4,270,1956,8,270,2007,3.6,3153,230
108,서울,1984-05-01,11.4,7.9,615,15.9,1630,1,0,,.1,145,.1,10.4,290,1454,6.7,290,1505,4.2,3645,270
108,서울,1984-05-02,13.9,7.7,646,20.6,1600,,,,,,,9,270,1606,7.5,270,1625,2.6,2242,270
108,서울,1984-05-03,14.7,9,607,21.3,1446,,,,,,,9,270,1503,6,270,1549,2.8,2451,270
108,서울,1984-05-04,14.3,9.3,600,21.6,1529,,,,,,,8.6,270,1704,6,270,1705,3.2,2751,250
108,서울,1984-05-05,16.2,9.1,610,24.1,1430,,,,,,,10,270,1615,7,270,1610,2.5,2202,250
108,서울,1984-05-06,16.4,10.9,600,23.1,1550,,,,,,,10,250,1446,6,270,1208,3,2589,230
108,서울,1984-05-07,17.3,10,540,23.9,1333,,,,,,,12.2,230,1521,7.7,230,1538,3.1,2665,230
108,서울,1984-05-08,18.7,13.7,600,23.9,1609,,,,,,,12.4,230,1338,9,230,1330,4.6,3958,230
108,서울,1984-05-09,18.5,12.8,609,25.6,1543,,,,,,,7.9,270,1653,5.7,270,1717,2.4,2053,270
108,서울,1984-05-10,18.7,13.5,551,24.9,1256,,,,,,,9,230,1423,6.3,230,1418,2.8,2421,250
108,서울,1984-05-11,20.1,16.6,0,25.3,1612,.38,0,,0,,0,10.9,230,1558,7,230,1600,4.7,4031,230
108,서울,1984-05-12,17.8,16.2,430,19.5,1224,20.72,1.1,1209,3.8,1200,16.4,7.3,270,102,5.2,270,103,2.3,1959,270
108,서울,1984-05-13,15.8,12.9,921,20.5,1700,11.25,1,310,4.1,309,14.1,12.6,70,1117,7.3,70,1123,3.5,3038,70
108,서울,1984-05-14,16.9,10.8,520,24.8,1530,,,,,,,10.7,270,1535,7.2,270,1640,2.5,2120,270
108,서울,1984-05-15,17,12,530,22.5,1250,,,,,,,7.5,290,1611,5.7,270,1620,2.2,1859,270
108,서울,1984-05-16,18.7,12.7,614,25.1,1404,,,,,,,9.7,320,1814,6,290,1701,1.9,1674,290
108,서울,1984-05-17,18,12.4,610,24.4,1543,,,,,,,8.4,270,1540,6.2,270,1610,2.6,2251,270
108,서울,1984-05-18,17.6,12.5,513,23.9,1414,,,,,,,9.5,290,1851,6.3,290,1855,2.4,2078,50
108,서울,1984-05-19,19.9,13.9,538,26.2,1342,,,,,,,7.7,270,1511,5,270,1512,2.1,1786,270
108,서울,1984-05-20,21.7,15.7,522,28.1,1610,,,,,,,8.3,290,1922,5.2,290,1947,2.2,1871,70
108,서울,1984-05-21,21,15.9,553,26.3,1507,,,,,,,7.9,270,1647,5.3,270,1650,2.3,1997,270
108,서울,1984-05-22,19.8,14.1,521,26.3,1558,,,,,,,6.6,270,1931,4.5,270,1938,2.1,1817,270
108,서울,1984-05-23,19.9,14.5,611,26.1,1322,,,,,,,9.1,270,1352,7.2,270,1720,2.5,2176,270
108,서울,1984-05-24,20.7,14.1,532,26.9,1455,,,,,,,6.9,270,1139,5,250,1253,2,1736,270
108,서울,1984-05-25,20.2,16.4,538,24,1230,,,,,,,7.7,230,1556,5.7,270,1700,1.6,1390,230
108,서울,1984-05-26,18.4,16.2,500,20.3,954,7,.7,1139,2,1100,4.1,6.4,250,116,4.5,290,1020,1.4,1209,70
108,서울,1984-05-27,20.5,17.4,600,25.3,1532,,,,,,,7.1,270,1627,5.3,270,1953,2.3,1962,270
108,서울,1984-05-28,20,17.4,423,25.8,1553,1.23,0,,0,,0,9.5,290,1627,6.7,270,1735,2.5,2162,270
108,서울,1984-05-29,20.5,17.8,433,25.4,1519,1.8,.3,942,.5,940,.5,8.8,270,1650,6.2,250,1000,3.3,2813,270
108,서울,1984-05-30,20.6,17.6,215,25.8,1530,4.37,0,,0,,0,8,270,1734,5.5,270,1840,2.8,2416,270
108,서울,1984-05-31,20.1,16,548,26.8,1348,,,,,,,8.6,270,1431,6.5,270,1433,2.9,2469,270
108,서울,1984-06-01,20.9,14.8,537,28,1452,,,,,,,9.1,270,1444,6.2,270,1650,2.8,2377,270
108,서울,1984-06-02,23.7,15.4,555,32.4,1630,,,,,,,8,250,1939,5.3,270,1710,2.1,1814,270
108,서울,1984-06-03,24.4,18.9,611,30.5,1340,,,,,,,7.8,270,1533,5.8,270,1543,2.5,2143,270
108,서울,1984-06-04,23.7,19.3,529,28.3,1320,.3,0,,0,,0,7.5,290,1638,6,290,1756,2.9,2533,270
108,서울,1984-06-05,23.5,20.6,500,28.2,1403,1.18,.3,108,.3,105,.3,9,270,2126,6.7,270,2130,2.5,2122,270
108,서울,1984-06-06,22.6,18.5,2400,26.9,1256,6.82,3,1508,4.9,1500,10.3,18.1,230,1433,11.5,230,1440,4.3,3725,230
108,서울,1984-06-07,20,17,2400,24.6,1609,1.83,.5,22,1.7,0,1.8,9.3,250,1606,7.3,270,1943,3,2594,270
108,서울,1984-06-08,20.8,16,600,27.4,1527,,,,,,,7.3,270,1701,6.7,270,1821,2.4,2039,270
108,서울,1984-06-09,19.8,17.6,620,21.8,1510,2.55,.1,1355,.1,1355,.1,6,270,2319,5,270,2338,1.6,1382,290
108,서울,1984-06-10,19.4,14.7,500,24.6,1451,,,,,,,9.8,230,1317,7.3,230,1320,4.1,3508,230
108,서울,1984-06-11,22.1,17.1,325,29.2,1458,,,,,,,8,230,1406,6,230,1700,2.7,2350,230
108,서울,1984-06-12,25.1,16.2,610,32.4,1609,,,,,,,5.8,290,1649,4.8,290,1657,1.4,1200,70
108,서울,1984-06-13,28.1,22,530,34.2,1550,,,,,,,7.3,160,1604,4,140,1340,1.7,1507,70
108,서울,1984-06-14,26.9,21.1,600,31.9,1704,,,,,,,8.2,70,1110,4.3,70,1033,2.5,2201,70
108,서울,1984-06-15,25.9,22,500,30.5,1332,.08,0,,0,,0,9.7,90,1351,5,90,1453,3.3,2871,70
108,서울,1984-06-16,22.4,19.7,2400,25.5,0,14.55,.7,740,3.7,650,23.6,11.5,70,1032,6.5,70,1040,3.8,3301,70
108,서울,1984-06-17,18.7,16.5,844,22.6,1753,11.5,.7,501,3.3,415,9.4,12.5,230,721,7.3,230,945,4.2,3642,230
108,서울,1984-06-18,20.3,18,2250,23.5,1256,13.97,3.4,1743,11.4,1730,38.1,8.3,70,2322,5,70,2332,1.6,1348,70
108,서울,1984-06-19,21.1,18,0,27.3,1642,5.67,.5,20,1.2,640,2.6,8.3,270,1556,7,270,2011,2.8,2418,270
108,서울,1984-06-20,22.3,17.3,534,27.6,1539,.25,0,,0,,0,6.1,290,1852,5.2,290,1751,1.8,1598,230
108,서울,1984-06-21,23.4,20.3,2400,28.9,1614,.33,0,,0,,0,8.6,270,1649,7.5,270,1723,2.6,2232,270
108,서울,1984-06-22,20.4,18.9,627,23,1400,9.93,.3,455,.7,450,1.3,5,270,1420,4,270,1425,1.5,1299,320
108,서울,1984-06-23,23.5,17.7,533,28.7,1458,,,,,,,7.9,270,1522,5.3,270,1531,1.8,1526,270
108,서울,1984-06-24,24.8,20.8,500,29,1456,,,,,,,6.5,320,1957,5,270,1832,1.7,1490,50
108,서울,1984-06-25,21.8,20.4,531,23.5,0,21.33,1.4,610,3.5,710,15.4,5.5,230,420,4.5,230,421,1.4,1181,90
108,서울,1984-06-26,22.9,19.9,2400,28,1528,6.42,.3,636,.7,636,1.1,7.3,230,1642,5.3,230,1650,2.4,2041,250
108,서울,1984-06-27,22.2,18.3,500,27.9,1510,,,,,,,7.6,270,1718,5.5,270,1744,3,2587,270
108,서울,1984-06-28,21.1,19.5,2400,24.9,1746,7.2,.2,1120,.7,1120,1.5,6.3,290,2024,5.7,290,2020,1.7,1445,270
108,서울,1984-06-29,22.6,17,551,28.7,1553,,,,,,,8.3,270,1443,5.3,270,1450,2.5,2192,250
108,서울,1984-06-30,24.5,18.5,600,30.2,1444,,,,,,,7.8,290,1529,5.5,270,1600,1.7,1487,270
108,서울,1984-07-01,26.1,20.2,600,32.3,1449,.18,0,,0,,0,7.8,230,1318,5.5,290,1720,2.3,1990,270
108,서울,1984-07-02,26.1,23.9,551,29.4,1353,.58,0,,0,,0,13.3,230,1721,10.5,230,1722,4.4,3789,200
108,서울,1984-07-03,23.7,22.3,2400,25.5,0,20,13.1,1550,36.6,1510,98.6,12.8,200,501,8.3,200,500,5,4349,230
108,서울,1984-07-04,21.3,20.7,2051,23.5,1251,18.08,1.5,655,4.9,629,18.8,8,270,1412,6,270,1413,2,1766,270
108,서울,1984-07-05,24.7,19.9,300,29.8,1445,,,,,,,7.4,70,1218,3.5,70,1224,1.6,1389,70
108,서울,1984-07-06,25.9,22.3,522,29.5,1546,2.17,1.4,2338,1.6,2238,3.5,6.2,230,1404,4.3,230,1409,1.8,1562,70
108,서울,1984-07-07,22.7,21.2,912,24.6,1549,7.47,4.3,1,13.1,2338,20.5,9.9,160,751,6.2,160,908,3.1,2702,230
108,서울,1984-07-08,23.2,21.6,2300,25.7,1719,9.13,2.1,622,6,609,14.2,11.5,230,1219,8.3,200,345,4.1,3501,230
108,서울,1984-07-09,24,21.6,0,27,1607,3.08,.1,1750,.2,1700,.3,6,230,1828,4.5,230,1830,1.2,1045,50
108,서울,1984-07-10,25.6,22.6,247,29.7,1436,.5,0,,0,,0,6.6,140,1255,4,140,1258,1.5,1322,50
108,서울,1984-07-11,25.7,22.6,552,29.4,1529,,,,,,,7,250,2030,4.8,250,2031,2.1,1849,50
108,서울,1984-07-12,21.9,20.4,1830,23.9,0,17.25,4.4,1322,14,1113,63.7,9.5,230,2305,6.7,230,2310,1.9,1648,90
108,서울,1984-07-13,22.8,20.5,600,26.7,1303,4.92,.2,0,.6,2330,.6,8,230,1404,6.3,230,1420,3.6,3081,230
108,서울,1984-07-14,25.1,21.5,600,30.1,1530,2.38,0,,.1,0,.1,8.4,270,1609,5.5,270,1643,2.6,2213,230
108,서울,1984-07-15,25.3,20.8,2100,32.7,1555,1.03,11.6,1830,14.7,1813,14.7,20.3,340,1810,13.7,340,1818,2,1717,90
108,서울,1984-07-16,24.1,20.8,2400,29.2,1546,1.53,.5,818,1.1,810,1.6,8.8,250,636,6,270,1700,3,2600,270
108,서울,1984-07-17,24,19.2,600,29.3,1543,,,,,,,7.2,270,1321,5,270,1322,2.3,1956,270
108,서울,1984-07-18,25.5,20.7,600,29.9,1625,,,,,,,7.5,250,1346,5.8,250,1410,1.8,1517,270
108,서울,1984-07-19,25.8,22.6,549,31,1511,1.55,1.1,1751,1.4,1719,1.4,9.6,290,1708,6.7,290,1710,1.7,1432,70
108,서울,1984-07-20,25.4,22,600,31.5,1334,.92,0,,0,,0,7.8,270,1436,6.3,270,1428,1.9,1612,270
108,서울,1984-07-21,26.7,23,557,31,1548,,,,,,,5.8,90,1416,4,90,1340,1.8,1539,50
108,서울,1984-07-22,23.1,20.8,2115,25,0,11.1,2.5,1931,5.6,1926,9.3,9.3,70,1859,5.7,70,2224,3.3,2880,70
108,서울,1984-07-23,24.4,20.2,300,30,1714,4.5,1.4,221,2.9,220,5.5,8.2,70,259,5,70,100,2,1698,70
108,서울,1984-07-24,25.7,22.7,613,30.7,1520,,,,,,,9.6,270,1707,8,270,1715,2.3,1947,290
108,서울,1984-07-25,25.2,22.7,340,30,1554,,,,,,,7.3,270,1413,5.8,270,1440,2.2,1902,230
108,서울,1984-07-26,26.6,21.5,600,32.3,1420,1.25,0,,0,,0,8.8,270,1739,6,270,1746,1.9,1649,50
108,서울,1984-07-27,28.5,25.8,625,33.2,1432,,,,,,,7.1,230,1350,5,250,1527,2.3,1981,250
108,서울,1984-07-28,28.2,26,518,32.2,1546,.87,0,,.1,923,.1,7.1,270,1320,5,270,1321,2.5,2127,270
