지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,1974-01-01,1,-4.3,410,7.6,1423,1.42,,,,,0,7,230,1504,5,230,1540,2.1,1824,70
108,서울,1974-01-02,3,-1.1,550,9.3,1352,,,,,,,4.7,250,1437,3.3,250,1600,1.6,1394,50
108,서울,1974-01-03,3,-.9,755,8.7,1520,,,,,,,5.5,70,945,3,70,1100,1.3,1127,70
108,서울,1974-01-04,1.3,-1.6,600,5.6,1505,,,,,,,6,290,1552,4,290,1650,1.9,1646,290
108,서울,1974-01-05,-1.1,-3.7,740,2.1,1542,,,,,,,3.8,70,907,3,320,50,1,839,50
108,서울,1974-01-06,-1.5,-5,825,4.4,1430,,,,,,,4.5,290,1920,3.7,290,1700,1.7,1450,50
108,서울,1974-01-07,-.5,-4.8,807,5.3,1515,,,,,,,4.5,270,1939,3.8,250,1700,1.4,1181,50
108,서울,1974-01-08,1.4,-1.3,255,6.2,1540,,,,,,,7.5,290,1430,4.7,290,1400,1.9,1626,50
108,서울,1974-01-09,1.7,-1.6,350,6.6,1345,,,,,,,6.8,70,859,4.2,70,800,1.9,1605,70
108,서울,1974-01-10,.8,-2.2,607,6.4,1448,,,,,,,5.8,250,1440,4.3,270,1537,1.9,1624,70
108,서울,1974-01-11,.2,-2.7,707,5.7,1524,,,,,,,5.9,50,1104,4.2,270,1620,2,1724,70
108,서울,1974-01-12,-.8,-5,800,4.3,1445,,,,,,,6.7,290,1443,4.7,290,1610,2,1716,70
108,서울,1974-01-13,-1.6,-6,740,3.8,1442,,,,,,,7,290,1457,4.7,290,1440,1.8,1580,290
108,서울,1974-01-14,.1,-5.1,810,6.9,1503,,,,,,,5.8,270,1952,4,270,2000,1.5,1326,50
108,서울,1974-01-15,-2,-7.5,2400,1,1333,,,,,,,11.8,290,1220,9,290,1230,3.9,3365,290
108,서울,1974-01-16,-6,-10,759,-1.2,1551,,,,,,,8,250,1609,5.3,250,1622,2.6,2271,290
108,서울,1974-01-17,-3.6,-6.4,2400,1,1447,,,,,,,10.7,270,1614,6.2,270,1640,2.5,2143,290
108,서울,1974-01-18,-4.6,-8.6,820,1.3,1456,,,,,,,6.9,270,1421,4.3,270,1450,2,1692,270
108,서울,1974-01-19,-2.2,-6,610,3.8,1440,.65,,,,,0,8.3,290,1650,5.7,290,1710,2,1750,50
108,서울,1974-01-20,-.9,-5,643,3.2,1406,1.62,,,,,1.1,7.7,70,2350,4.2,70,2400,2.3,1992,70
